id,created_at,lang,favourite_count,retweet_count,text,sentiment
126405660308021248,Tue Oct 18 21:13:52 +0000 2011,es,0,0,"Casi 30 años usando PC, de ellos casi 4 Mac y tengo q decir que el Macbook Air 11"" de @apple es de largo lo mejor. No imagino como mejorarlo",irrelevant
126399172495679488,Tue Oct 18 20:48:05 +0000 2011,es,0,0,"ipad: ""mi aparato favorito de la vida"" frase celebre de Azay Carrasco @apple #ipad",irrelevant
126391727408947200,Tue Oct 18 20:18:30 +0000 2011,en,0,0,Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq,irrelevant
126379095004160001,Tue Oct 18 19:28:18 +0000 2011,it,0,0,che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone,irrelevant
126373281099026432,Tue Oct 18 19:05:12 +0000 2011,fr,0,0,"Twitter intègré dans ios5, mais le correcteur français ne connaît pas ce mot et propose titrer... Peut mieux faire comme intégration @Apple",irrelevant
126367728754884609,Tue Oct 18 18:43:08 +0000 2011,en,0,0,Chill lol RT @apple: 😂😂😂😂😂😂😂😂 RT @Styl_Standin: What is imessage??,irrelevant
126362562865528832,Tue Oct 18 18:22:37 +0000 2011,en,0,0,@LennyDubz you do know that @apple is not the company. and why u blasting me on #twitter???,irrelevant
126360606042374144,Tue Oct 18 18:14:50 +0000 2011,nl,0,0,@bassponton @iphoneclub @kpn @iphone @apple ja. En dan heb je voor dat geld ook nog een datalimiet....,irrelevant
126352049070809089,Tue Oct 18 17:40:50 +0000 2011,es,0,0,"Y @Apple? ""@BlackberryVzla: RIM anuncia más de 150 millones de dispositivos Vendidos, 1 Billón de Apps Descargadas ymás http://t.co/5IFKXvg4",irrelevant
126346563147673600,Tue Oct 18 17:19:02 +0000 2011,de,0,0,Fullscreen überall nur der #AppStore hat keine Option dafür. Warum? @apple,irrelevant
126346004688674816,Tue Oct 18 17:16:49 +0000 2011,en,0,0,Love how  @rogersbiz tell u they're not allowed to sell the 4s for $ more than @Apple but yet want $100 more for the 64G,irrelevant
126332817134190592,Tue Oct 18 16:24:25 +0000 2011,it,0,0,Complimenti sinceri ad @apple per #IOS5 va benissimo su #iPhone e #iPad,irrelevant
126331879883415552,Tue Oct 18 16:20:41 +0000 2011,ja,0,1,"RT @supaluga: RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/u82a1Ivk",irrelevant
126319126913363968,Tue Oct 18 15:30:01 +0000 2011,es,0,0,Apple vende 4 millones de iPhone 4S en tres días http://t.co/FH5T5Mi6 #turismo #martesviajero @apple,irrelevant
126313259572793345,Tue Oct 18 15:06:42 +0000 2011,nl,0,0,Mooi verhaal over @Dropbox en hoe zij een geweldig aanbod van @apple Steve Jobs hebben geweigerd in het verleden. http://t.co/eARoBIne!,irrelevant
126307114959372289,Tue Oct 18 14:42:17 +0000 2011,ja,0,1,"RT @modalnho: New mov: ""ショウケース@apple store 銀座"" 記録 / starring:ichiro_, REPEAT PATTERN, moda → http://t.co/u82a1Ivk",irrelevant
126304243144597505,Tue Oct 18 14:30:52 +0000 2011,nl,0,0,Verzoek aan @apple voor iphone: koppel agenda aan bellen. Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen. #thnx,irrelevant
126303928039116800,Tue Oct 18 14:29:37 +0000 2011,und,0,0,cc @apple http://t.co/8TnodVS8,irrelevant
126290039138291712,Tue Oct 18 13:34:26 +0000 2011,ja,0,0,"さっきスパルガ先生とラーメン屋でmodaについて語っていた@modalnho""ショウケース@apple store 銀座"" 記録 / starring:ichiro_,REPEAT PATTERN,COFFEE SHOPS,moda → http://t.co/zbI6rZ5s",irrelevant
126270990459219968,Tue Oct 18 12:18:44 +0000 2011,en,0,0,"So ya my ITunes is in Japanese???
@apple
#lostasamothafucka",irrelevant
126215978341236736,Tue Oct 18 08:40:08 +0000 2011,nl,0,0,@GuySie Heb je gisteren Tros Radar gezien over Apple. Garantie werd niet nagekomen door @Apple en devices zeer snel kapot.,irrelevant
126175729024122880,Tue Oct 18 06:00:12 +0000 2011,es,0,1,Las aplicaciones más populares para iPhone (vía AppleWeblog) http://t.co/m68Tzn1K #iphone @apple,irrelevant
126164921485492224,Tue Oct 18 05:17:15 +0000 2011,en,1,0,"@Twitter CEO @DickC on @Apple, Privacy, Free Speech and @Google; Far From IPO http://t.co/ztq9Sx7x",irrelevant
126149195957673984,Tue Oct 18 04:14:46 +0000 2011,en,0,0,@Karofsky @Apple  how's that pear coming? oops i mmeant apple!,irrelevant
126138637652992001,Tue Oct 18 03:32:49 +0000 2011,es,0,0,"Por cierto @Apple, me sigue gustando mas MobileMe que iCloud. La sincronización de mis ordenadores, la gestión de carpetas... nada que ver.",irrelevant
126054622564589569,Mon Oct 17 21:58:58 +0000 2011,und,0,0,"جهاز من كل ثلاثه تحمل iOS 5
""@TechCrunch: iOS 5 Already Installed On 1 In 3 Eligible Devices http://t.co/2Hijv2LK by @grg"" @apple @ios5",irrelevant
126042611709521921,Mon Oct 17 21:11:15 +0000 2011,es,0,0,"@Apple podría lanzar un #iPad Mini en el 2012, según los últimos rumores. http://t.co/3mkPJTFX",irrelevant
126024290201124864,Mon Oct 17 19:58:26 +0000 2011,fr,0,0,Viens de tester #ios5 sur un 3GS et franchement c'est pas mal du tout ! @apple,irrelevant
126022958710915072,Mon Oct 17 19:53:09 +0000 2011,es,0,0,"http://t.co/k8RQwXty 
para que descargues apps para tu dispositivo #iOS de @Apple.",irrelevant
126022708524888064,Mon Oct 17 19:52:09 +0000 2011,es,0,0,"Por fin Adobe para #iOS, al parecer @Apple se reconcilia en esta nueva gestión.",irrelevant
126005063595466753,Mon Oct 17 18:42:02 +0000 2011,nl,0,0,Lekkere garantie volgens #radar bij @apple. #Ned1,irrelevant
126000885485678592,Mon Oct 17 18:25:26 +0000 2011,es,0,1,En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Está Repletoooo iFull LOL,irrelevant
125998496535937024,Mon Oct 17 18:15:57 +0000 2011,pt,0,0,"querida @apple, até quando o steve vai ficar na sua pagina inicial?",irrelevant
125996653990772737,Mon Oct 17 18:08:37 +0000 2011,en,0,0,"@MissHell23 Umm, pretty sure I typed @Apple, not you, but okies, why'd you do it, then? *grin*",irrelevant
125991634855923712,Mon Oct 17 17:48:41 +0000 2011,ja,0,0,@pnt21 ドンマイー@(・●・)@Apple社保証薄いから気をつけてね,irrelevant
125982640263274496,Mon Oct 17 17:12:56 +0000 2011,es,0,0,"#MobileMe, #iCloud, #AppleID... cómo sobrevivir a la transición de las cuentas de @Apple http://t.co/3lMPiCjK",irrelevant
125973789526863872,Mon Oct 17 16:37:46 +0000 2011,es,0,0,@Bonita1108 es pura envidia xq @Apple no te ha regalado nada con o sin fallas #VivaBlackBerry,irrelevant
125965369532878849,Mon Oct 17 16:04:19 +0000 2011,nl,0,0,&gt; 4 mln iPhones verkocht in eerste weekend: http://t.co/1pPZz1oX (via @apple),irrelevant
125965364667486209,Mon Oct 17 16:04:17 +0000 2011,nl,0,0,&gt; 4 mln iPhones verkocht in eerste weekend: http://t.co/OP26muCr (via @apple),irrelevant
125957826500771840,Mon Oct 17 15:34:20 +0000 2011,und,0,1,RT @BikerVox: http://t.co/EVItL2eO @KentStoffels @MArioMUssolini @iOS_Notch @Apple,irrelevant
125930962545672192,Mon Oct 17 13:47:35 +0000 2011,es,0,0,Resultado de ventas de @apple 4millones de #iPhone4s vendidos,irrelevant
125928640394432513,Mon Oct 17 13:38:22 +0000 2011,fr,0,0,@hervepierre mdr! ouais une mauvaise expérience avec les vendeurs @Apple store m'a fait hair l'iphone ;),irrelevant
125910538550124545,Mon Oct 17 12:26:26 +0000 2011,in,0,0,"bagi yg acc USnya di disabled sama apple,email aja itunes store supportnya minta di re enabled lagi
iTunesStoreSupport@apple.com",irrelevant
125857117407166464,Mon Oct 17 08:54:09 +0000 2011,nl,0,0,"#epicfail @apple bij upgraden naar IOS5 instellingen kwijt en ebooks verloren. het kost me dus geld zo'n upgrade, WAARDELOOS!",irrelevant
125827656238379008,Mon Oct 17 06:57:05 +0000 2011,fr,0,0,"Hey @apple , je sais que tu es encore un peu remué, mais tu pourrais ajouter le verbe avoir à ton dictionnaire ?",irrelevant
