Topic,Sentiment,Tweet
apple,irrelevant,"""Casi 30 a\u00f1os usando PC"
apple,irrelevant,"""ipad: \""""mi aparato favorito de la vida\"""" frase celebre de Azay Carrasco @apple #ipad"""
apple,irrelevant,"Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq"
apple,irrelevant,"che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone"
apple,irrelevant,"""Twitter int\u00e8gr\u00e9 dans ios5"
apple,negative,"Chill lol RT @apple: \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 RT @Styl_Standin: What is imessage??"
apple,irrelevant,"@LennyDubz you do know that @apple is not the company. and why u blasting me on #twitter???"
apple,irrelevant,"@bassponton @iphoneclub @kpn @iphone @apple ja. En dan heb je voor dat geld ook nog een datalimiet...."
apple,irrelevant,"""Y @Apple? \""""@BlackberryVzla: RIM anuncia m\u00e1s de 150 millones de dispositivos Vendidos"
apple,irrelevant,"Fullscreen \u00fcberall nur der #AppStore hat keine Option daf\u00fcr. Warum? @apple"
apple,positive,"Love how  @rogersbiz tell u they're not allowed to sell the 4s for $ more than @Apple but yet want $100 more for the 64G"
apple,irrelevant,"Complimenti sinceri ad @apple per #IOS5 va benissimo su #iPhone e #iPad"
apple,irrelevant,"""RT @supaluga: RT @modalnho: New mov: \""""\u30b7\u30e7\u30a6\u30b1\u30fc\u30b9@apple store \u9280\u5ea7\"""" \u8a18\u9332 / starring:ichiro_"
apple,irrelevant,"Apple vende 4 millones de iPhone 4S en tres d\u00edas http://t.co/FH5T5Mi6 #turismo #martesviajero @apple"
apple,irrelevant,"Mooi verhaal over @Dropbox en hoe zij een geweldig aanbod van @apple Steve Jobs hebben geweigerd in het verleden. http://t.co/eARoBIne!"
apple,irrelevant,"""RT @modalnho: New mov: \""""\u30b7\u30e7\u30a6\u30b1\u30fc\u30b9@apple store \u9280\u5ea7\"""" \u8a18\u9332 / starring:ichiro_"
apple,irrelevant,"Verzoek aan @apple voor iphone: koppel agenda aan bellen. Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen. #thnx"
apple,irrelevant,"cc @apple http://t.co/8TnodVS8"
apple,irrelevant,"""\u3055\u3063\u304d\u30b9\u30d1\u30eb\u30ac\u5148\u751f\u3068\u30e9\u30fc\u30e1\u30f3\u5c4b\u3067moda\u306b\u3064\u3044\u3066\u8a9e\u3063\u3066\u3044\u305f@modalnho\""""\u30b7\u30e7\u30a6\u30b1\u30fc\u30b9@apple store \u9280\u5ea7\"""" \u8a18\u9332 / starring:ichiro_"
apple,irrelevant,"So ya my ITunes is in Japanese???\n@apple\n#lostasamothafucka"
apple,irrelevant,"@GuySie Heb je gisteren Tros Radar gezien over Apple. Garantie werd niet nagekomen door @Apple en devices zeer snel kapot."
apple,irrelevant,"Las aplicaciones m\u00e1s populares para iPhone (v\u00eda AppleWeblog) http://t.co/m68Tzn1K #iphone @apple"
apple,irrelevant,"""@Twitter CEO @DickC on @Apple"
apple,irrelevant,"@Karofsky @Apple  how's that pear coming? oops i mmeant apple!"
apple,irrelevant,"""Por cierto @Apple"
apple,irrelevant,"""\u062c\u0647\u0627\u0632 \u0645\u0646 \u0643\u0644 \u062b\u0644\u0627\u062b\u0647 \u062a\u062d\u0645\u0644 iOS 5\n\""""@TechCrunch: iOS 5 Already Installed On 1 In 3 Eligible Devices http://t.co/2Hijv2LK by @grg\"""" @apple @ios5"""
apple,irrelevant,"""@Apple podr\u00eda lanzar un #iPad Mini en el 2012"
apple,negative,"Viens de tester #ios5 sur un 3GS et franchement c'est pas mal du tout ! @apple"
apple,irrelevant,"http://t.co/k8RQwXty \npara que descargues apps para tu dispositivo #iOS de @Apple."
apple,irrelevant,"""Por fin Adobe para #iOS"
apple,irrelevant,"Lekkere garantie volgens #radar bij @apple. #Ned1"
apple,irrelevant,"En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Est\u00e1 Repletoooo iFull LOL"
apple,irrelevant,"""querida @apple"
apple,irrelevant,"""@MissHell23 Umm"
apple,irrelevant,"@pnt21 \u30c9\u30f3\u30de\u30a4\u30fc@(\u30fb\u25cf\u30fb)@Apple\u793e\u4fdd\u8a3c\u8584\u3044\u304b\u3089\u6c17\u3092\u3064\u3051\u3066\u306d"
apple,irrelevant,"""#MobileMe"
apple,negative,"@Bonita1108 es pura envidia xq @Apple no te ha regalado nada con o sin fallas #VivaBlackBerry"
apple,irrelevant,"&gt; 4 mln iPhones verkocht in eerste weekend: http://t.co/1pPZz1oX (via @apple)"
apple,irrelevant,"&gt; 4 mln iPhones verkocht in eerste weekend: http://t.co/OP26muCr (via @apple)"
apple,irrelevant,"RT @BikerVox: http://t.co/EVItL2eO @KentStoffels @MArioMUssolini @iOS_Notch @Apple"
apple,irrelevant,"Resultado de ventas de @apple 4millones de #iPhone4s vendidos"
apple,irrelevant,"@hervepierre mdr! ouais une mauvaise exp\u00e9rience avec les vendeurs @Apple store m'a fait hair l'iphone ;)"
apple,negative,"""bagi yg acc USnya di disabled sama apple"
apple,irrelevant,"""#epicfail @apple bij upgraden naar IOS5 instellingen kwijt en ebooks verloren. het kost me dus geld zo'n upgrade"
apple,irrelevant,"""Hey @apple "
apple,irrelevant,"@chachasikes @iphone @apple on the iphone4s???"
apple,irrelevant,"\u8ffd\u60bc\u30b8\u30e7\u30d6\u30ba\u6c0f\u2026@Apple Store#fb  http://t.co/V07PBNdP"
apple,irrelevant,"Como puedo checar mi correo si tengo cuenta @apple.com?? :S osea no q onda con eso!! jajaja"
apple,irrelevant,"This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/tmQ50JRU"
apple,positive,"@chefreggie06 @rolandsmartin @Apple get ready Tampa Bay the Martin's are coming to town! Bring it on Buccaneers!"
apple,positive,"@heidiknyc @apple @Badog420 Cute dinner when ur back from shanghai xx"
apple,irrelevant,"@apple - dette blir for dumt. http://t.co/zqKMkq91"
apple,irrelevant,"ninguem desliga o 3g do celular -.- \u201c@giuchavez: Olha aqui @apple: na proxima atualiza\u00e7ao eu quero um atalho pra ligar/desligar a 3g Ok ..."
apple,positive,"@Apple et je devrais arr\u00eater de vous glorifier et \u00e7a c'est pas cool..."
apple,irrelevant,"yo @Apple va falloir faire quelque chose pour l'app vid\u00e9o. Le fait de pas pouvoir laisser la vid\u00e9o jouer en faisant autre chose &lt;  diarrh\u00e9e."
