Topic,Sentiment,Prediction,TwitterText,,,,,,,
apple,irrelevant,irrelevant,Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK,,,,,,,
apple,irrelevant,irrelevant,Cenaze nedeniyle kapal?y?z' @apple  http://t.co/j4L892Kk,,,,,,,
apple,irrelevant,irrelevant,#Deal & #Schn?ppchen Update: [iPad] iPad 1. Generation general??berholt ab 389 ?? @Apple - http://t.co/xDtdZurD,,,,,,,
apple,irrelevant,irrelevant,"Olha aqui @apple: na proxima atualiza?ao eu quero um atalho pra ligar/desligar a 3g Ok ? Aff fazem tudo pela metade !!! Steve,da um jeito ai",,,,,,,
apple,irrelevant,neutral,Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garant??a. Incre??ble!,,,,,,,
apple,irrelevant,negative,New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book,,,,,,,
apple,irrelevant,neutral,@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7,,,,,,,
apple,irrelevant,neutral,"Curso de DJ na @apple em breve, informa?oes 30114020 ou 91287199msn: dj_sandrocosta@hotmail.com@djtetekerbes",,,,,,,
apple,irrelevant,irrelevant,Partner with @apple. I&#39;d pay $50 for aniBulb. &quot;@washingtonpost: Would you pay $25 for this lightbulb? http://t.co/zGFsehAO&quot;,,,,,,,
apple,irrelevant,neutral,#BlackBerry #RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a @Apple pero sinceramente no creo que llegue :),,,,,,,
apple,irrelevant,negative,RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2,,,,,,,
apple,irrelevant,neutral,Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones,,,,,,,
apple,irrelevant,negative,Quiero migrar @Apple!,,,,,,,
apple,irrelevant,irrelevant,Asi o mas mala la #version5.0 de @apple...,,,,,,,
apple,irrelevant,irrelevant,"???????`?????????????????????i??????! -- New mov: ?????????`??@apple store ?y??"" ???h / starring:ichiro_",REPEAT PATTERN,COFFEE SHOPS,"moda ?? http://t.co/kmJ0o1Ja""",,,,
apple,irrelevant,negative,Find more the best Maytag Washer Control Board deal.Check pric http://t.co/SNdkAg3e@Best @Apple @Peeler,,,,,,,
apple,irrelevant,neutral,@dgosset @lolopb oh putain?? j'ai vid?? mon spam il y a peu?? Le mail de applecert@apple.com est dans ce qu'il reste??,,,,,,,
apple,irrelevant,irrelevant,Teach Different: iTeach Therefore iAm http://t.co/yozd8HCx @apple @teachforus @teachforamerica #ipad #stevejobs,,,,,,,
apple,irrelevant,neutral,@waze_it @macneo Bellissimo video. Sono sempre pi?? convinto di prendere un @Apple iPhone e gettare via il @Nokia N97 che mi ritrovo.,,,,,,,
apple,irrelevant,irrelevant,@HAZI ??????@apple.com??,,,,,,,
apple,irrelevant,neutral,Today very cheap for 2198597 Icemaker.And Free shipping for 2198597 Icemaker too. http://t.co/6CLkWAiO@French @Apple @Peeler,,,,,,,
apple,irrelevant,irrelevant,Descuentos y offertas para applicaciones de @apple http://t.co/8VNd57qk #mobil,,,,,,,
apple,irrelevant,irrelevant,Un abrazo a tod@s desde el @Apple Store en #NewYork. Es un honor sumarse a la gente que honra la memora y el #genio de #SteveJobs.,,,,,,,
apple,irrelevant,neutral,Today very cheap for Patio Furniture San Anton http://t.co/Sd3i1bjm@Plastic @Apple @Bags,,,,,,,
apple,irrelevant,irrelevant,@Le_M_Poireau Mais moi je voudrais pas que @apple donne mon fichier @LaLibreBe. Marre d'??tre spamm??e par les journaux d??sesp??r??s.,,,,,,,
apple,irrelevant,irrelevant,Se tan arruinando mis audifonos d mi #iphone @apple quien me quiere regalar unos? http://t.co/56eeE9uY,,,,,,,
apple,irrelevant,irrelevant,"RT @modalnho: New mov: ?????????`??@apple store ?y??"" ???h / starring:ichiro_", REPEAT PATTERN," moda ?? http://t.co/kmJ0o1Ja""",,,,,
apple,irrelevant,irrelevant,RT @IsmaelLaRosa: En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Est?? Repletoooo iFull LOL,,,,,,,
apple,irrelevant,irrelevant,Contra todo pron??stico @Samsung podr??a ser el fabricante del #chipA6 para @Apple http://t.co/6utPqa5w,,,,,,,
apple,irrelevant,neutral,"RT @mpastrana: RT @apple no pasa nada, todo esta bien, no pasa nada, todo esta en orden http://t.co/zwECWhD",,,,,,,
apple,irrelevant,neutral,Discount Hemp Knots today.Cheap price too.Save money for best Hemp Knots. http://t.co/9H3jopLq@Avanti @Apple @Peeler,,,,,,,
apple,irrelevant,irrelevant,RT @aranzibia: Las aplicaciones m??s populares para iPhone (v??a AppleWeblog) http://t.co/m68Tzn1K #iphone @apple,,,,,,,
apple,irrelevant,neutral,En @Apple mucho dise?o pero llevo media hora esperando a mi clase que poca formalidad,,,,,,,
apple,negative,neutral,@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx,,,,,,,
apple,negative,neutral,Is it me or does #iPhone4s run a little warm sometimes? @apple,,,,,,,
apple,negative,irrelevant,Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!,,,,,,,
apple,negative,negative,on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.,,,,,,,
apple,negative,irrelevant,2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.,,,,,,,
apple,negative,irrelevant,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.",,,,,,,
apple,negative,irrelevant,Damn it @Apple!! Whatchu done to my phone??,,,,,,,
apple,negative,irrelevant,"@trisha_ps @iCloud is Cloudy. @apple tech, not very techy.",,,,,,,
apple,negative,irrelevant,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!,,,,,,,
apple,negative,irrelevant,"Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?",,,,,,,
apple,negative,negative,Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable,,,,,,,
apple,negative,irrelevant,"IOS5 has one problem, when i save someone in my contacts they don't show his nam becuz of the region/ +965 @apple #apple",,,,,,,
apple,negative,irrelevant,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!,,,,,,,
apple,negative,irrelevant,I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me.,,,,,,,
apple,negative,neutral,It would be great If @Apple would send my new phone. #frustrated,,,,,,,
apple,negative,irrelevant,"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg",,,,,,,
apple,negative,neutral,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.,,,,,,,
apple,negative,negative,Bummer!  My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running.,,,,,,,
