Tweet,Correct Sentiment,Predicted Sentiment
Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK,irrelevant,irrelevant
Cenaze nedeniyle kapalu0131yu0131z' @apple  http://t.co/j4L892Kk,irrelevant,neutral
#Deal & #Schnu00e4ppchen Update: [iPad] iPad 1. Generation generalu00fcberholt ab 389 u20ac @Apple - http://t.co/xDtdZurD,irrelevant,irrelevant
"Olha aqui @apple: na proxima atualizau00e7ao eu quero um atalho pra ligar/desligar a 3g Ok ? Aff fazem tudo pela metade !!! Steve,da um jeito ai",irrelevant,irrelevant
Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garantu00eda. Increu00edble!,irrelevant,irrelevant
New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book,irrelevant,neutral
@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7,irrelevant,negative
"Curso de DJ na @apple em breve, informau00e7oes 30114020 ou 91287199nmsn: dj_sandrocosta@hotmail.comn@djtetekerbes",irrelevant,irrelevant
Partner with @apple. I&#39;d pay $50 for aniBulb. &quot;@washingtonpost: Would you pay $25 for this lightbulb? http://t.co/zGFsehAO&quot;,irrelevant,neutral
#BlackBerry #RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a @Apple pero sinceramente no creo que llegue :),irrelevant,irrelevant
RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2,irrelevant,irrelevant
Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones,irrelevant,irrelevant
Quiero migrar @Apple!,irrelevant,neutral
Asi o mas mala la #version5.0 de @apple...,irrelevant,irrelevant
