Tweet,Correct Sentiment,Predicted Sentiment
Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK,irrelevant,irrelevant
Cenaze nedeniyle kapalu0131yu0131z' @apple  http://t.co/j4L892Kk,irrelevant,irrelevant
#Deal & #Schnu00e4ppchen Update: [iPad] iPad 1. Generation generalu00fcberholt ab 389 u20ac @Apple - http://t.co/xDtdZurD,irrelevant,irrelevant
"Olha aqui @apple: na proxima atualizau00e7ao eu quero um atalho pra ligar/desligar a 3g Ok ? Aff fazem tudo pela metade !!! Steve,da um jeito ai",irrelevant,irrelevant
Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garantu00eda. Increu00edble!,irrelevant,irrelevant
New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book,irrelevant,irrelevant
@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7,irrelevant,negative
"Curso de DJ na @apple em breve, informau00e7oes 30114020 ou 91287199nmsn: dj_sandrocosta@hotmail.comn@djtetekerbes",irrelevant,irrelevant
Partner with @apple. I&#39;d pay $50 for aniBulb. &quot;@washingtonpost: Would you pay $25 for this lightbulb? http://t.co/zGFsehAO&quot;,irrelevant,irrelevant
#BlackBerry #RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a @Apple pero sinceramente no creo que llegue :),irrelevant,irrelevant
RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2,irrelevant,irrelevant
Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones,irrelevant,positive
Quiero migrar @Apple!,irrelevant,irrelevant
Asi o mas mala la #version5.0 de @apple...,irrelevant,irrelevant
"u304au3063u3068u30fcu3001u51fau6f14u8005u30b7u30e7u30c3u30d7u30b9u304cu629cu3051u3066u305f! -- New mov: ""\u30b7u30e7u30a6u30b1u30fcu30b9@apple store u9280u5ea7"""" u8a18u9332 / starring:ichiro_",irrelevant,irrelevant
Find more the best Maytag Washer Control Board deal.Check pric http://t.co/SNdkAg3e@Best @Apple @Peeler,irrelevant,positive
@dgosset @lolopb oh putainu2026 j'ai vidu00e9 mon spam il y a peuu2026 Le mail de applecert@apple.com est dans ce qu'il resteu2026,irrelevant,irrelevant
Teach Different: iTeach Therefore iAm http://t.co/yozd8HCx @apple @teachforus @teachforamerica #ipad #stevejobs,irrelevant,irrelevant
@waze_it @macneo Bellissimo video. Sono sempre piu00f9 convinto di prendere un @Apple iPhone e gettare via il @Nokia N97 che mi ritrovo.,irrelevant,irrelevant
@HAZI u30afu30c3u30af@apple.comuff1f,irrelevant,irrelevant
Today very cheap for 2198597 Icemaker.And Free shipping for 2198597 Icemaker too. http://t.co/6CLkWAiO@French @Apple @Peeler,irrelevant,neutral
Descuentos y offertas para applicaciones de @apple http://t.co/8VNd57qk #mobil,irrelevant,irrelevant
Un abrazo a tod@s desde el @Apple Store en #NewYork. Es un honor sumarse a la gente que honra la memora y el #genio de #SteveJobs.,irrelevant,positive
Today very cheap for Patio Furniture San Anton http://t.co/Sd3i1bjm@Plastic @Apple @Bags,irrelevant,negative
@Le_M_Poireau Mais moi je voudrais pas que @apple donne mon fichier @LaLibreBe. Marre d'u00eatre spammu00e9e par les journaux du00e9sespu00e9ru00e9s.,irrelevant,irrelevant
Se tan arruinando mis audifonos d mi #iphone @apple quien me quiere regalar unos? http://t.co/56eeE9uY,irrelevant,irrelevant
"RT @modalnho: New mov: ""\u30b7u30e7u30a6u30b1u30fcu30b9@apple store u9280u5ea7"""" u8a18u9332 / starring:ichiro_",irrelevant,irrelevant
RT @IsmaelLaRosa: En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Estu00e1 Repletoooo iFull LOL,irrelevant,irrelevant
Contra todo pronu00f3stico @Samsung podru00eda ser el fabricante del #chipA6 para @Apple http://t.co/6utPqa5w,irrelevant,irrelevant
"RT @mpastrana: RT @apple no pasa nada, todo esta bien, no pasa nada, todo esta en orden http://t.co/zwECWhD",irrelevant,irrelevant
Discount Hemp Knots today.Cheap price too.Save money for best Hemp Knots. http://t.co/9H3jopLq@Avanti @Apple @Peeler,irrelevant,positive
RT @aranzibia: Las aplicaciones mu00e1s populares para iPhone (vu00eda AppleWeblog) http://t.co/m68Tzn1K #iphone @apple,irrelevant,irrelevant
En @Apple mucho diseu00f1o pero llevo media hora esperando a mi clase que poca formalidad,irrelevant,irrelevant
@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx,negative,irrelevant
Is it me or does #iPhone4s run a little warm sometimes? @apple,negative,positive
Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!,negative,irrelevant
on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.,negative,negative
2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.,negative,positive
"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.",negative,negative
Damn it @Apple!! Whatchu done to my phone??,negative,negative
"@trisha_ps @iCloud is Cloudy. @apple tech, not very techy.",negative,negative
Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!,negative,positive
"Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?",negative,positive
Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable,negative,positive
"IOS5 has one problem, when i save someone in my contacts they don't show his nam becuz of the region/ +965 @apple #apple",negative,negative
Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!,negative,irrelevant
I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me.,negative,negative
It would be great If @Apple would send my new phone. #frustrated,negative,positive
"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg",negative,neutral
RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.,negative,neutral
Bummer!  My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running.,negative,irrelevant
@Apple Siri is down!,negative,irrelevant
"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,neutral
"@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it.",negative,irrelevant
"@semilshah yeah except that when you ask for a receipt, it takes them 30 minutes to figure out where it printed out. Fix that, @Apple!",negative,irrelevant
@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??,negative,negative
"I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!",negative,negative
Samsung seeks iPhone 4S ban in Japan and AustralianPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk,negative,irrelevant
"@apple If you want to know what customers think dont send updates with the ""noreply"""" return address. Who invented that anyway. #useless""",negative,irrelevant
"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!",negative,irrelevant
"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computeru2026""",negative,negative
Where is my iPhone!?!?!?!n@apple,negative,irrelevant
"@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A ""MOBILE ME"""" SCREEN""",negative,negative
"u201c@philipgrey: dear @apple, why you gotta go change the way &lt;input type=""number""""&gt; is handled out of the blue?u201d""",negative,irrelevant
"@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help",negative,positive
"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing ""Who Knew"""" by Pink.  Still not Flawless @Apple""",negative,positive
@apple not happy with Apple today. I did the suggested software update and now nothing works!!!,negative,positive
"@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze.",negative,negative
The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss,negative,negative
"@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday, I'm returning my iPhone 4S.",negative,positive
iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.,negative,negative
Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!,negative,irrelevant
but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz,negative,negative
*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5,negative,negative
@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.,negative,negative
"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.",negative,positive
My @Apple @macbook keyboard will not type :(,negative,irrelevant
This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable,negative,positive
@apple No location reminders on ipad2! That was the point of updating to iOS 5,negative,irrelevant
@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??,negative,positive
Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!,negative,neutral
"@nansen Man, that sux! @apple io5 upgrade a total #fail for you!",negative,irrelevant
"Asked #Siri ""Where's Baby Lisa?"""" and was told """"sorry",negative,irrelevant
Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall,negative,irrelevant
#DontBeMadAtMeBecause #Android is by far better than @Apple,negative,positive
Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often,negative,irrelevant
"Deu00e1r iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs",negative,negative
"See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!",negative,negative
@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em,negative,irrelevant
@apple why is my iPhone battery so crappy #fail,negative,negative
So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple,negative,negative
"yo, @apple, this update is a disaster",negative,negative
@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL,negative,negative
@apple u guys are gay,negative,irrelevant
@albertmal88 remember @apple is evil. #icloud entering the #dropbox market,negative,negative
I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.,negative,neutral
. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!,negative,negative
"@Apple, #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix.",negative,irrelevant
fuck u @apple,negative,negative
I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail,negative,negative
@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( n#itjustworks,negative,neutral
"Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo",negative,positive
why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple,negative,negative
"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",negative,positive
"@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty.",negative,neutral
Lies @apple. the battery on this new iPhone4S is definitely not any better.,negative,neutral
My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!,negative,positive
"u201c@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.u201d in NZ?",negative,negative
@twalve @apple you know the issues they have with DST and alarms :p,negative,negative
@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye,negative,positive
Hmmmm a lot of #Siri features don't work in Canada. Location and directions? Seriously @apple come on!,negative,positive
"dear @apple, why you gotta go change the way &lt;input type=""number""""&gt; is handled out of the blue?""",negative,irrelevant
"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"""" button.""",negative,negative
@rogerweir no but I have the option of a  replacement iPhone 4s ?nNot sure if I want one after having 2 duff iPhones.n@O2 @iphone4s @apple,negative,irrelevant
i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple,negative,negative
I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple,negative,negative
"Just when #TomCruise thought he had a unique name for his daughter, @Apple pulls the rug out from under him with the new #Siri App.",neutral,irrelevant
iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri,neutral,irrelevant
iOS 5 for iPhone and iPad is Here: Apple's Best Release Yet?  http://t.co/iLYGZ5Ox #ios5 #ios @apple #ipad #tablet,neutral,positive
In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S,neutral,positive
The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple,neutral,irrelevant
